license_no,company,state,postcode,phone,address,license_year,osa_code
MALLP20260636,NATURECEUTICALS SDN BHD,Kedah,08000,0444004589,"No. A1-1, A1-2 & A1-3, Lot 5, Persiaran 2/1, Taman Halal Kedah, LPK Sungai Petani, SUNGAI PETANI",2026,944030
MALLP20260554,Poh Guan Hong (1985) Sdn. Bhd,Sarawak,96000,084320475,"LOT 33A & 33B, JALAN TAPAH, SUNGAI MERAH INDUSTRIAL ESTATE, , SIBU",2026,1017351
MALLP20260633,NATUREBIO LABORATORIES SDN.BHD,Selangor,48000,0380765688,"22 & 26, JALAN BJ5 TAMAN PERINDUSTRIAN BELMAS JOHAN, JALAN BATANG BERJUNTAI, , RAWANG",2026,1017378
MALLP20260556,SEANG WAN MANUFACTURING SDN BHD,Pulau Pinang,14100,0124280916,"11-11A, JALAN IKS JURU JAYA, TAMAN IKS JURU JAYA, , SIMPANG AMPAT",2026,952651
MALLP20260825,BELIVE HEALTHCARE SDN. BHD.,Selangor,40150,0163283871,"NO. 1, JALAN PENYAJAK U1/45A, TAMAN PERINDUSTRIAN TEMASYA ALPINE, SEKSYEN U1, SHAH ALAM",2026,1270317
MALLP20260640,MULTI HERBS PHARMACEUTICAL (M) SDN BHD,W.P. Kuala Lumpur,52100,62510780,"NO. 23 & 25, JALAN METRO PERDANA TIMUR 10, KEPONG ENTREPRENEUR'S PARK, OFF JALAN KEPONG, KUALA LUMPUR",2026,2394
MALLP20261294,G&G Century (M) Sdn Bhd,W.P. Kuala Lumpur,56000,0391319570,"No. 7, Jalan Damai Puspa 1, Alam Damai Industrial Park, Alam Damai, , , CHERAS",2026,1017372
MALLP20260635,Dragon Ginseng Bio-Tech Sdn Bhd,Selangor,42200,03-32917777,"NO. 11, JALAN WAWASAN 4A/KU7, KAWASAN PERINDUSTRIAN SUNGAI KAPAR INDAH, BATU 6, JALAN KAPAR, KAPAR",2026,1020020
MALLP20260896,ELPAR HERBS SDN. BHD.,Kedah,08000,01111760200,"NO. C35, JALAN 2A-4, KAWASAN PERUSAHAAN SUNGAI LALANG, , SUNGAI PETANI",2026,586
MALLP20260818A,XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.,Melaka,75250,06-3351515,"1-5, CHENG INDUSTRIAL ESTATE, ,",2026,655
MALLP20260949,TIGER BALM (M) SDN. BHD.,Johor,81400,076792287,"No. 53, Jalan I-Park SAC 7, Taman Perindustrian I-Park SAC, , SENAI",2026,1314908
MALLP20261561,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),W.P. Kuala Lumpur,56000,03-91715329,"NO. 78, JALAN KILANG MIDAH, TAMAN MIDAH, , KUALA LUMPUR",2026,214
MALLP20260729,Syarikat Minyak Afiat Sdn Bhd,Perak,33000,057764677,"Lot 4184, Batu 30, Jalan Ipoh, , KUALA KANGSAR",2026,1148666
MALLP20260701A,Bio Molecular Industries Sdn Bhd,Negeri Sembilan,71760,03-79557889,"PT22, Persiaran Teknologi 1, Techpark @Enstek Bandar Enstek, , BANDAR ENSTEK",2026,1017357
MALLP20260702,BAN KAH CHAI PHARMACEUTICAL SDN. BHD.,Pulau Pinang,14120,04-5886328,"LOT 427~430, LORONG IKS TASEK 5, JALAN INDUSTRI, PADANG LALLANG, SIMPANG AMPAT",2026,1204897
MALLP20260700,B-CROBES LABORATORY SDN BHD,Perak,31400,05-5474026,"18 & 20, LINTASAN PERAJURIT 17G, TAMAN TEKNOLOGI INDUSTRI & PERUSAHAAN IPOH, , IPOH",2026,1019632
MALLP20260868,STELLAR BIO SDN BHD,Selangor,47100,0380604228,"NO. 77 & 79, JALAN TPP 1/13, TAMAN PERINDUSTRIAN PUCHONG, SEKSYEN 1, PUCHONG",2026,1324951
MALLP20260696,DOT GREEN LIFESCIENCES SDN. BHD.,Selangor,43500,03-89207039,"NO. 12, JALAN P4/3, BANDAR TEKNOLOGI KAJANG, , KAJANG",2026,1019815
MALLP20260697,ALPINE MEDICAL INDUSTRIES SDN. BHD.,Perak,30100,05-2438888 / 05-5265366,"NO. 34, JALAN PERINDUSTRIAN SILIBIN 1, KAWASAN PERINDUSTRIAN RINGAN SILIBIN, , IPOH",2026,1019514
MALLP20260699,QIS RESEARCH LABORATORY SDN. BHD.,Selangor,41400,0333410713,"LOT 11995, BATU 2, JALAN KAPAR, , KLANG",2026,1105865
MALLP20260698,SG GLOBAL BIOTECH SDN. BHD.,Selangor,41400,03-33410713,"Lot 1388, Blok A, Batu 2 1/2, Jalan Kapar, , KLANG",2026,1019486
MALLP20260824A,BIOCARE MANUFACTURING SDN. BHD.,Perak,32610,0379573555,"LOT 269, TAMAN FARMASEUTIKAL, BANDAR BARU SERI ISKANDAR, , SERI ISKANDAR",2026,1110118
MALLP20260673,WTH PHARMACEUTICAL SDN BHD,Pulau Pinang,11960,042620939,"11-A, LINTANG BERINGIN SATU, DIAMOND VALLEY INDUSTRIAL PARK, BATU MAUNG, BAYAN LEPAS",2026,1023217
MALLP20260731,SARI TANI DESA SDN. BHD.,Selangor,40150,0378475855,"NO. 21 & 23, JALAN APOLLO U5/188, BANDAR PINGGIRAN SUBANG, SEKSYEN U5, SHAH ALAM",2026,1109827
MALLP20260733,OMEGA HEALTH PRODUCTS SDN BHD,Selangor,43500,0143694822,"NO. 32, JALAN MEGA A, BANDAR TEKNOLOGI KAJANG, , SEMENYIH",2026,1147607
MALLP20260965,Esprit Care Sdn. Bhd.,Selangor,47100,03-80604228,"No. 61, 65, 67 & 69, Jalan TPP 1/13, Taman Perindustrian Puchong, Batu 12, , PUCHONG",2026,951354
MALLP20260645,SAM TAT TRADING COMPANY,Perak,31500,012-5316982,"NO. 8, PERSIARAN PERINDUSTRIAN PENGKALAN 15, KAWASAN PERINDUSTRIAN PENGKALAN, , LAHAT",2026,56740
MALLP20260552,SABIT BANANI INDUSTRIES SDN BHD,Kelantan,16100,09-7715196,"BT 4 & BT 5, KAWASAN INDUSTRI MARA, FASA 2, JALAN PADANG TEMBAK, PENGKALAN CHEPA,, , , KOTA BHARU",2026,1019872
MALLP20260946,YANLING NATURAL HYGIENE SDN. BHD.,Selangor,47000,03-6140 3602/03,"LOT 2, 2A, 6, 8, 10, 12, 12A, 16, 18, 20 & 22, JALAN SB JAYA 11, TAMAN INDUSTRI SB JAYA, , SUNGAI BULOH",2026,1105163
MALLP20262383,Nano food (M) Sdn Bhd,Selangor,47120,03-83119688,"NO. 4, JALAN MERANTI JAYA 7, TAMAN MERANTI JAYA, , PUCHONG",2026,1320620
MALLP20261535,FABULLITE FOOD & SUPPLEMENT SDN. BHD.,Selangor,48020,0126746826,"84, JALAN KPK 1/7, KAWASAN PERINDUSTRIAN KUNDANG, KUNDANG JAYA, RAWANG",2026,1152913
MALLP20261534,UMZ BIOLINE MANUFACTURER SDN BHD,Johor,81800,07-8612464,"NO. 9 & 11, JALAN TIRAM 14, TAMAN PERINDUSTRIAN TIRAM, , ULU TIRAM",2026,1136056
MALLP20261495,VGO HOLDING SDN. BHD.,Pulau Pinang,14000,0124544888,"No. 6, Lorong Pala 4, Kawasan Industri Ringan Permatang Tinggi, , BUKIT MERTAJAM",2026,1136008
MALLP20261455,SHARIKAT PENG GUAN PENGARAKAN SDN BHD,Sarawak,96000,084-330421,"No. 82-84, Jalan Lanang, , , SIBU",2026,1020103
MALLP20261451,FIATEC BIOSYSTEM SDN. BHD.,Selangor,47160,0380619232,"NO. 5, JALAN TPP 1/7, TAMAN PERINDUSTRIAN PUCHONG, , PUCHONG",2026,1144414
MALLP20261449,Kuang Chin Huang Medicines Factory Sdn Bhd,Pulau Pinang,14000,04-5072023,"23, Lorong Perda Utama 7, Kawasan Perindustrian Ringan, Bandar Perda, , BUKIT MERTAJAM",2026,1020119
MALLP20261448,HERBAL REVIVAL SDN. BHD.,Selangor,47000,+03-6157-4818,"NO. 5 & 7, JALAN TSB 6, TAMAN INDUSTRI SG BULOH, , SUNGAI BULOH",2026,1017350
MALLP20261450,FHUTA PHARMACEUTICAL SDN.BHD,Pulau Pinang,14000,045054444,"2226, LORONG IKS BUKIT MINYAK 1, TAMAN IKS BUKIT MINYAK, , BUKIT MERTAJAM",2026,1106276
MALLP20261454A,STERLING DRUG (MALAYA) SDN. BHD.,Selangor,68000,+603 4253 2020,"LOT 89, JALAN ENGGANG, AMPANG/HULU KELANG INDUSTRIAL ESTATE, , AMPANG",2026,1272799
MALLP20261412,F.E. VENTURE MARKETING SDN. BHD.,Selangor,43200,03-90745280,"No. 12, 1st Floor, Jalan CJ3, Cheras Jaya, Kawasan Perindustrian Balakong, Cheras Jaya",2026,937455
MALLP20261453,NM NATURAL MEDICAL MANUFACTURING (M) SDN. BHD.,Selangor,40150,603-78474534,"NO. 61, JALAN APOLLO U5/188, BANDAR PINGGIRAN SUBANG, , SHAH ALAM",2026,2816
MALLP20261409,Linde EOX Sdn Bhd,Sarawak,96000,084-212093,"Lot 556, Lorong Tanjung Kibong 2, Jalan Rantau Panjang, , SIBU",2026,1331341
MALLP20262315,RIZQ TEJA RESOURCES (M) SDN. BHD.,Selangor,40150,03-78450877,"NO. 20, JALAN UTARID U5/14, SEKSYEN U5, MUTIARA SUBANG, , SHAH ALAM",2026,1203328
MALLP20261338,Pollux Gentech Sdn. Bhd.,Selangor,47600,03-80111256,"2, Jalan Industri USJ 1/8, Taman Perindustrian USJ 1, , , SUBANG JAYA",2026,1020108
MALLP20261297,NATURAL ALOE BIOTECH SDN. BHD.,Johor,81200,0167768779,"NO. 21, JALAN BAYU 2/5, TAMAN PERINDUSTRIAN TAMPOI, , JOHOR BAHRU",2026,74940
MALLP20262161,PERNIAGAAN ORANG KAMPUNG SDN. BHD.,Melaka,77300,06-2636200,"J 7017 & 7018, KAWASAN PERINDUSTRIAN MERLIMAU, , MERLIMAU",2026,1319092
MALLP20262081,DARULAMAN MANUFACTURING SDN. BHD.,Kedah,06000,04-9161767,"LOT 59, 60, 61 & 62, TAMAN INDUSTRI KEDA NAPOH, , JITRA",2026,1034504
MALLP20262147,SABAH OXYGEN SDN. BHD.,Sabah,88460,088415455,"Lot No. 30, Jalan 2A, KKIP Timur, Industrial Zone 12 (IZ12), Kota Kinabalu Industrial Park (KKIP), KOTA KINABALU",2026,1204555
MALLP20262381,W MEDICARE SDN. BHD.,W.P. Kuala Lumpur,56000,0123739928,"No 66A, Jalan Nadchatiram 1, , Taman Taynton View, , , KUALA LUMPUR",2026,1330738
MALLP20262379,PERCETAKAN TENAGA SDN.BHD.,W.P. Kuala Lumpur,52200,03-62765860,"No. 60 & 62, Jalan Tago 2, Taman Perindustrian Tago, , KEPONG",2026,1270464
MALLP20262306,STELLAR BIO SDN BHD,Selangor,47100,0380604228,"NO. 77 & 79, JALAN TPP 1/13, TAMAN PERINDUSTRIAN PUCHONG, SEKSYEN 1, PUCHONG",2026,1324951
MALLP20262384,MORINVIBES SDN. BHD.,Pulau Pinang,11900,0102766095,"2-C, LINTANG SUNGAI TIRAM 4, MK. 12, BAYAN LEPAS",2026,1335683
MALLP20262254,BIO TREE PHARMACEUTICAL (INT`L) SDN. BHD.,Melaka,78300,063851323,"ST 72A, JALAN TUNAS BARU SEKSYEN 2/7, KAWASAN PERINDUSTRIAN MASJID TANAH, , MASJID TANAH",2026,1335517
MALLP20262290,MEGA MOUNT INDUSTRIAL GASES SDN. BHD.,Johor,81400,075998388,"PLO 192, JALAN SIBER 8, KAWASAN PERINDUSTRIAN SENAI IV, , SENAI",2026,1187010
MALLP20262253,NIPPON SANSO MALAYSIA SDN. BHD.,Selangor,40400,0355228222,"Lot PT 5074 & 5075, Jalan Jangur 28/43, Seksyen 28, , SHAH ALAM",2026,1269845
MALLP20262175,KENSHIN BIOLABS SDN. BHD.,Selangor,43000,01127531488,"NO. 35 & 37, JALAN SC 3, PUSAT PERINDUSTRIAN SUNGAI CHUA, , KAJANG",2026,1334306
MALLP20262174,FIRST GRADE RESOURCES SDN BHD,Kedah,09000,044910769,"NO. 1, JALAN JUNJONG, , KULIM",2026,1326690
MALLP20262184A,SUNWARD PHARMACEUTICAL SDN. BHD.,Johor,81200,07-2367531,"NO. 9, 11 & 17, JALAN KEMPAS 4, TAMAN PERINDUSTRIAN TAMPOI INDAH, , JOHOR BAHRU",2026,610
MALLP20262101,SOFTGEL MANUFACTURING SDN. BHD.,Johor,81700,6072892928,"NO. 12 & 14, JALAN IHP 1/4, KAWASAN PERINDUSTRIAN ISKANDAR HALAL PARK, , PASIR GUDANG",2026,1205811
MALLP20262032,Phytobiotech Sdn. Bhd.,Negeri Sembilan,71800,06-7992778,"Lot 5773, Block 2 & 5, Jalan Emas, Bio-Energy Technology Park, Nilai Industrial Estate, NILAI",2026,936629
MALLP20262100,EXCEL HERBAL INDUSTRIES SDN. BHD.,Selangor,48000,010-2043517,"NO. 48, 49 & 50, JALAN VELOX 2, TAMAN VELOX, RAWANG INDUSTRIAL PARK, RAWANG",2026,1321960
MALLP20262070,FOURPACK INDUSTRIES SDN. BHD.,Selangor,47100,0395468476,"14 & 16, JALAN TPK 1/3, SEKSYEN 1, TAMAN PERINDUSTRIAN BANDAR KINRARA, , PUCHONG",2026,1328581
MALLP20262164,WARISAN SALJU ENTERPRISE,Kedah,07000,04-9559543,"LOT 424, BATU 7, JALAN BAYAS, KAMPUNG PERANA, MUKIM ULU MELAKA, LANGKAWI",2026,2023
MALLP20262033,Reishilab Sdn Bhd,Selangor,43500,0387232188,"No. 5, Jalan P2/4, Bandar Teknologi Kajang, , SEMENYIH",2026,13381
MALLP20261293,DI ANN TRADING,Johor,85000,012-7177650,"NO. 25, JALAN NAGASARI 17, SEGAMAT BARU, , SEGAMAT",2026,73071
MALLP20260971,Shenlu Biotech Sdn Bhd,Negeri Sembilan,71800,06-7971629,"125-128, Jalan Nilai 7/9,, Nilai Inland Port,, , NILAI",2026,944648
MALLP20261092,SENDAYU TINGGI MANUFACTURING (M) SDN BHD,Selangor,42920,0331012133,"LOT 182 & 183, JALAN SUNGAI PINANG 5/6, KAWASAN PERINDUSTRIAN PULAU INDAH FASA 2, , PORT KLANG",2026,50414
MALLP20260970A,Rhone Ma Malaysia Sdn Bhd,Negeri Sembilan,71800,0378737355,"LOT 16008, JALAN NILAM 3, KAWASAN PERINDUSTRIAN NILAI UTAMA, , NILAI",2026,1309580
MALLP20261121A,Rhone Ma Malaysia Sdn Bhd,Selangor,46100,03-78737355,"LOT 18A & 18B, JALAN 241, SEKSYEN 51A, , PETALING JAYA",2026,1020104
MALLP20261295,I MEDIKEL PHARMACEUTICAL SDN. BHD.,Kelantan,16100,09-7731364,"BK 3, KAWASAN INDUSTRI MARA FASA 2, JALAN PADANG TEMBAK, PENGKALAN CHEPA, KOTA BHARU",2026,1110578
MALLP20261452,THE MITOMASA SDN. BHD.,Selangor,68000,0342880198/ 0342709501,"No. 13G & 13-1, Jalan LJ 3, Taman Industri Lembah Jaya, , AMPANG",2026,1112025
MALLP20261296,SHAFLI LAGENDA SDN. BHD.,Selangor,43650,03-8928 0177,"No. 19 & 21, Tingkat 1 Jalan P/16, Selaman Industrial Park, Seksyen 10, Bandar Baru Bangi, , , KAJANG",2026,1020255
MALLP20260967,NATURAL NEUTRACEUTICALS SDN. BHD.,Selangor,43500,0162628361,"NO. 3 & 3A, JALAN P4/8B, BANDAR TEKNOLOGI KAJANG, , SEMENYIH",2026,1324422
MALLP20262071,NMY MANUFACTURING SDN BHD,Selangor,45300,0332241040,"NO. 19 & 19A, 21 & 21A, JALAN PPSL 2, PUSAT PERNIAGAAN SUNGAI LIAS, SUNGAI BESAR",2026,1317168
MALLP20261218,BIO NICE INDUSTRY SDN BHD,Johor,79200,07-5115610,"NO. 5, JALAN SILC 1/4, KAWASAN PERINDUSTRIAN SILC, , ISKANDAR PUTERI",2026,1023439
MALLP20261211A,GoodScience Sdn. Bhd.,Selangor,48020,03-60343883,"No. 7, Jalan KPK 4/3, Kawasan Perindustrian Kundang, Kundang Jaya, RAWANG",2026,1124635
MALLP20260960,MILLIONS STARS TRADING,Pulau Pinang,14100,0124381562,"LOT 10 & 12, LORONG IKS,, SIMPANG AMPAT E, TAMAN IKS , , SEBERANG PERAI",2026,1019837
MALLP20261130,Phyto Herbal Industries Manufacturing Sdn Bhd.,Johor,81800,078616628,"No. 38, Jalan Istimewa 5, Taman Perindustrian Cemerlang, , ULU TIRAM",2026,1106572
MALLP20261118,TJ-TYT PHARMACEUTICALS (M) SDN. BHD.,Perak,31500,05-3228766,"1 & 3, PERSIARAN PERINDUSTRIAN PENGKALAN 12, KAWASAN PERINDUSTRIAN PENGKALAN, , LAHAT",2026,2825
MALLP20261341,ACE HEALTH PRODUCTS SDN. BHD.,Selangor,43500,0109286284,"1, JALAN P2/16, SEKSYEN 2 , BANDAR TEKNOLOGI KAJANG, , SEMENYIH",2026,1320433
MALLP20261257,Dke Inno In Biotech Sdn. Bhd.,Kedah,05150,+604-7358810,"30, Kompleks Perniagaan Gangsa, Jalan Gangsa 1, , ALOR SETAR",2026,1020116
MALLP20261122,RHINO DISTRIBUTORS SDN BHD,Johor,81200,072356806,"NO. 6 & 8, JALAN BANANG SATU, KAWASAN PERINDUSTRIAN TAMAN JOHOR, , JOHOR BAHRU",2026,1147602
MALLP20261217A,ROYCE PHARMA MANUFACTURING SDN. BHD.,Negeri Sembilan,71800,067995999,"PT 1663, NILAI INDUSTRIAL ESTATE, , , NILAI",2026,1019690
MALLP20261292,U TROPIKA SDN. BHD.,Pulau Pinang,10300,0124287011,"101-11-13, Menara Perdana Industrial Complex, Jalan Gurdwara, , , GEORGETOWN",2026,1017377
MALLP20261258,BIOPROUT (M) SDN. BHD.,Johor,81100,0127080251,"No. 10, Jalan Perniagaan 6, Setia Business Park II, Taman Perniagaan Setia Kempas, JOHOR BAHRU",2026,1000076
MALLP20261298A,Steripack Asia Sdn Bhd,Selangor,42000,03-31673596 ext 602,"LOT 119992, JALAN CANANG EMAS 8, TELOK GONG, , PORT KLANG",2026,945078
MALLP20261256,AHJ BERKAT ENTERPRISE,Melaka,77300,0136800284,"PLOT SD 23, (JC3264), KILANG BERKEMBAR, MELAKA HALAL HUB FASA 2, MERLIMAU",2026,1140157
MALLP20261255,YPL HEALTHCARE PRODUCT SDN BHD,Negeri Sembilan,70450,0123083453,"No. 44, Lorong Taman Perniagaan Senawang 1/4, Taman Perniagaan Senawang, , SEREMBAN",2026,1041356
MALLP20262082A,Beacon Hospital Sdn. Bhd.,Selangor,46050,03-77872829,"NO. 1, JALAN 215, SECTION 51, OFF JALAN TEMPLER, , PETALING JAYA",2026,1017361
MALLP20261214,THP MEDICAL SDN. BHD.,Pulau Pinang,14100,045023396,"LOT PT 1281 (PLOT 308), JALAN PERINDUSTRIAN BUKIT MINYAK 18, KAWASAN PERINDUSTRIAN BUKIT MINYAK, SIMPANG AMPAT",2026,1130996
MALLP20261212,Happy Health (m) Sdn Bhd,Johor,83010,074153505 0162325877,"NO. 7, JALAN PERINDUSTRIAN KAPAL LAYAR 1, TAMAN PERINDUSTRIAN KAPAL LAYAR, TONGKANG PECHAH, BATU PAHAT",2026,1158699
