company,state,postcode,phone,address
PAOS INDUSTRIES SDN. BHD.,Selangor,40200,603-55104219,"NO.65, PERSIARAN SELANGOR, SEKSYEN 15,"
SUPALAW MANUFACTURING CO,Perak,31650,05-3231477,"7, PESIARAN PERINDUSTRIAN PENGKALAN 35 KAWASAN PERINDUSTRIAN PENGKALAN 1"
COSCOLAB SDN. BHD.,Selangor,43300,0389618169,"NO. 1, JALAN TAMING 2, KAWASAN PERINDUSTRIAN TAMING JAYA,"
DXN INDUSTRIES (M) SDN. BHD.,Kedah,06000,04-9161288 / 04-9162688,"KAMPUNG PADANG PANJANG JALAN BUKIT WANG, MALAU"
BIOASIA WORLDWIDE SDN. BHD.,Perak,32000,03-78463820,"U-11, LUMUT PORT INDUSTRIAL PARK, KAWASAN PERUSAHAAN KAMPUNG ACHEH"
QUETIN,W.P. Kuala Lumpur,58200,03-77833618,"LOT B5-13, KL INDUSTRIAL PARK BATU 5, JALAN KLANG LAMA"
SIREHEMAS PHARMA SDN. BHD.,Selangor,40150,0378422558,"No. 11-13, Blok B, Kompleks Perkilangan Sme Bank Shah Alam Jalan Saujana Indah 8,  Taman Perindustrian Saujana Indah,"
MECHE CHEMICAL & TRADING,Perak,31450,05-2822427,"76, HALA PERUSAHAAN KLEDANG UTARA 2 MENGLEMBU INDUSTRIAL PARK"
SKINWERKZ (ASIA PACIFIC) SDN. BHD.,Selangor,47500,03-56117026,"NO.24 - 30, JALAN PJS 11/5, BANDAR SUNWAY INDUSTRIAL ESTATE,"
C H TANG SDN. BHD.,W.P. Kuala Lumpur,58200,603-77826915,"NO. 19, 27 & 29, JALAN KAMPUNG PASIR BATU 6, JALAN KELANG LAMA"
PACK & PEK SDN. BHD.,W.P. Kuala Lumpur,52100,03-28579228,"NO. 22, JALAN 4/34B, SRI EDARAN LIGHT INDUSTRIAL PARK, KEPONG"
BIO HARVEST SDN. BHD.,Selangor,40200,603-62729782,"5, Jalan Lada Hitam 16/12,"
SOFENNIE COSMETIC & JEWELLERY SDN BHD,Kedah,05150,0122105099,"83-B, TINGKAT ATAS, KAW. INDUSTRI RINGAN SHAHAB PERDANA 10, JLN. SULTANAH SAMBUNGAN,"
Yes Cosmetic Laboratories Sdn Bhd,Selangor,48000,03-6277153,"No 17 Tingkat 1, Taman Rawang Perdana 17th Miles, Jalan Ipoh"
Success Heritage Sdn. Bhd.,Selangor,43200,03-90758863,"Lot 26, Jalan Cj 1/7, Cheras Jaya"
KAO SOAP (MALAYSIA) SDN. BHD.,Pulau Pinang,13600,604-3998500,"2637, LORONG PERUSAHAN SATU PRAI INDUSTRIAL COMPLEX"
INDUSTRI KOSMETIK FADARAJ,Kedah,06000,04-9245369,"LOT 17 IKS NAPOH,"
INTER-CARE INDUSTRIES SDN BHD,Selangor,45000,603-3289 2957,"LOT 23, LORONG PERUSAHAAN 1A, ZON INDUSTRI KUALA SELANGOR,"
GRACE COSMETICS INDUSTRIES GMP SDN. BHD.,Johor,81200,"07-2353333, 07-2350000","NO. 2, JALAN DATARAN 3,  TAMAN KEMPAS"
YAMNI INDUSTRIES SDN BHD (COSMETIC PREMISE),Kelantan,16100,09-7750333,BT1 KAW PERINDUSTRIAN MARA JLN PDG TEMBAK PENG CHEPA
SHARMILA SDN BHD,Perlis,02000,04-9854815,"B5, KOMPLEKS KILANG SME BANK, LOT 29,JALAN INDUSTRI KAWASAN PERINDUSTRIAN KUALA PERLIS"
Fabullite Sdn Bhd,W.P. Kuala Lumpur,52100,016-3316826,"658, Jalan 24, Taman Perindustrian Ehsan Jaya, Kepong"
Energyworks Sdn Bhd,W.P. Kuala Lumpur,52200,03-6276 7112,"No. 45 Jln Kip 9, Taman Perindustrian Kip"
Vernal Nature Sdn Bhd,Johor,81030,07-6521431,"Lot 2232, Kelapa Sawit"
VEE-MAN BEAUTY SDN BHD,Selangor,47500,0122360922,"N0 1 JALAN SS 13/3 F, SUBANG JAYA LIGHT INDUSTRIAL ESTATE"
ANITA FRAGRANCE COSMETIC LABORATORY,Sabah,88200,088489076,"Lot 3, Kompleks Kilang SME, Jalan Papar Lama, Lok Kawi,"
Franevyns Beaute(M) Sdn Bhd,Pulau Pinang,14000,04-5305009,"76, JALAN PERDA UTAMA, BANDAR PERDA"
WAY IN ALLIANCE (M) SDN. BHD.,Pulau Pinang,12100,04-3319028,"7, TINGKAT SIRAM 1,"
HALAGEL PRODUCTS SDN. BHD.,Kedah,08000,604-4481288,"LOT A140, JALAN 3, KAWASAN PERUSAHAAN MIEL SG. LALANG,"
BIOSIS COSMECEUTICALS SDN BHD,Pulau Pinang,13600,604-507 2057,"PLOT 22, LORONG PERUSAHAAN MAJU 2, PRAI INDUSTRIAL ESTATE, PHASE 4"
MULTIGROW MANUFACTURING (M) SDN. BHD.,W.P. Kuala Lumpur,52100,03-89613818,"LOT 27A, JALAN 4/32A, OFF 6 1/2 MILES, JALAN KEPONG,"
T-Biomax Sdn. Bhd.,Selangor,47600,0380247101,"No 51 Jalan USJ 1/31,"
Demogates Sdn Bhd,Pulau Pinang,14300,045941119,"No.18, Lorong Industri 15, Bukit Panchor Industrial Park"
Dental-k Manufacturing Sdn. Bhd.,Selangor,40400,"012-3273628, 03-51928623","66,Jalan Kapar 27/89, Sec 27, Alam Megah Industrial Park"
MBH Cosmeceutical Sdn Bhd,Selangor,42200,03-33935718,"NO. 12, JALAN MERU INDAH 20, TAMAN PERINDUSTRIAN MERU INDAH, KAPAR,"
Cambridge Herbal Sdn Bhd,Selangor,47000,0377281786,"No 6, Jln SB Jaya 1, Taman Perindustrian Sungai Buloh Jaya"
Kelantan Biotech Corporation Sdn. Bhd,Kelantan,18500,09-9765280,"Lot 3174, Batu 23, Jalan kota Bharu - Machang,"
GANO EXCEL INDUSTRIES SDN BHD,Kedah,05150,04-9172888,"NO. 81 & 82, LORONG PERAK 20, TAMAN PERINDUSTRIAN RINGAN SRI MERGONG,"
QEMRICH SDN. BHD.,Selangor,43300,012-6266745,"51, JALAN BALAKONG JAYA 6, TAMAN PERINDUSTRIAN BALAKONG JAYA,"
Ph Manufacturing Sdn Bhd,Kelantan,16100,097718071,"PT 2497 & PT 2498, JALAN 5/44, KAWASAN PERINDUSTRIAN PENGKALAN CHEPA II"
NIPPON MENARD (M) SDN. BHD.,Selangor,40150,0355693301/3302/3305,"NO. 2, JALAN PENGARAH U1/29, SEKSYEN U1, HICOM GLENMARIE INDUSTRIAL PARK,"
PRIME OLEOCHEMICAL INDUSTRIES SDN. BHD.,Selangor,47400,0378400717,"NO. 30, GROUND FLOOR, JALAN SS20/10, DAMANSARA KIM"
INTERCOS (M) SDN BHD,Selangor,47000,,"NO.27,JLN TSB 1, TMN INDUSTRI SG BULOH,"
DEPCO UNITED SDN.  BHD.,Pulau Pinang,13600,04-307285,"2433, MK 1,TINGKAT PERUSAHAAN 6, KAWASAN PERUSAHAAN PRAI,"
L&S COSMETICS AND TOILETRIES (M) SDN. BHD.,Selangor,48300,03-60282033,"NO. 6 & 8, JALAN JASMINE 5 BUKIT BERUNTUNG INDUSTRIAL PARK"
N.V. DHARMA AGUNG (M) SDN. BHD.,Selangor,40100,03-5569,"NO. 6, JALAN SP 4/1, SUBANG PERDANA, KAMPUNG SUBANG,"
CHEMI LAB COSMETIC INDUSTRIES,Selangor,43000,03-8739 3981,"NO. 12, JALAN SC 1/A2, PUSAT PERINDUSTRIAN SG. CHUA,"
ORIENTAL PRODUCTS INDUSTRIAL,Perak,30010,05-5062167,"NO. 29, LALUAN KANGSAR 4 JALAN KUALA KANGSAR"
KOSMETIK WANGI SDN. BHD.,Selangor,47301,03 - 7492 8383,"211, BLOCK A, KELANA BUSINESS CENTER 97, JALAN SS7/2 KELANA JAYA"
NATURE`S  SELECT (M) SDN. BHD.,Selangor,43500,03-87232398,"NO. 12, GROUND FLOOR, JALAN P2/19, SEKSYEN 2, BANDAR TEKNOLOGI KAJANG,"
DRI`N GUARD SDN. BHD.,Selangor,40150,03-55685100,"LOT 5, JALAN PEGUAM U1/25, SEKSYEN U1, HICOM GLENMARIE INDUSTRIAL PARK"
KOSMETIK ALWAN SDN BHD,Selangor,40460,03-51211498/7,"NO. 11, JALAN F, 31/F, SECTION 31, KOTA KEMUNING,"
COSMEPEUTIC MANUFACTURING SDN BHD,Johor,84700,06-9520511,"NO 23 & 24, JALAN INDUSTRI TIARA 3, TAMAN PERINDUSTRIAN TIARA"
GOLDMANN COSMETIC MANUFACTURER,Perak,31450,05-2426828,"NO.11, DATARAN KLEDANG 5, TAMAN PERINDUSTRIAN CHANDAN RAYA,"
Innoskin Concept Sdn Bhd,W.P. Kuala Lumpur,57000,603 9059 6666,"18, Jalan 30b/146, Desa Tasik"
Kim River Research Sdn Bhd,Pulau Pinang,10300,0124564128,"Kompleks Adorna Gold, 107-7-09, Jalan Gurdwara Georgetown"
WAY IN MANUFACTURING (M) SDN BHD,Pulau Pinang,12100,04-3230028,"4, TINGKAT SIRAM 1,"
Sipro (malaysia) Sdn. Bhd.,Selangor,40400,03-51911788/2788,"LOT 7, JALAN TELUK GADUNG 27/93, SEKSYEN 27,"
Tricholab (m) Sdn Bhd,W.P. Kuala Lumpur,52100,03-6273 5953 / 6273 5934,"NO. 22A, JALAN EIP 3, TAMAN EHSAN INDUSTRIAL PARK"
Pax Flora Sdn Bhd,Selangor,,03-89410797,"47G,JLN PSK 6, PUSAT PERDAGANGAN SERI KEMBANGAN"
KHOLIN SDN. BHD.,Kedah,05150,604-735 8810,"NO. 106, JALAN KRISTAL 6, TAMAN PERINDUSTRIAN RINGAN KRISTAL"
ZAM ZAM CHEMICAL WORKS,Selangor,68100,03-26982842,"NO 31, JALAN SBC 7, TAMAN SRI BATU CAVES,"
Tropical Bioessence Sdn. Bhd.,Melaka,78300,06-3844964 / 0193537694,"NO. ST 519, JALAN TUNAS BARU, SEKSYEN 1/4, KAWASAN PERINDUSTRIAN MIEL MASJID TANAH,"
CANSUN COSME SDN BHD,Selangor,40150,0163366213,"NO 24, JALAN APOLLO U5/191, BANDAR PINGGIRAN SUBANG, SEC U5,"
PEOPLE & GLOBAL SDN BHD,Selangor,43300,0389613818,"5, JALAN TAMING TIGA TAMAN TAMING JAYA"
FAR GO INDUSTRIES SDN. BHD.,Selangor,47000,03-78036619 / 03-78876619,"55, 57 & 59, JALAN TSB 1, TAMAN INDUSTRI SUNGAI BULOH,"
J.F. BEAUTY GROUP SDN BHD,W.P. Kuala Lumpur,52100,03-62016080,"LOT 5D/1 (B), ANZEN BUSINESS PARK, NO. 3-9, JALAN 4/37A, KAWASAN INDUSTRI TAMAN BUKIT MALURI"
I MEDIKEL COSMECEUTICAL (M) SDN. BHD.,Kelantan,16100,0126937558,"BT 11, KAWASAN INDUSTRI MARA FASA 2, PADANG TEMBAK PENGKALAN CHEPA"
KYOUMEI INDUSTRIES SDN BHD,Selangor,47000,0361563281,"NO 16, JALAN SB JAYA 9, TAMAN SB JAYA,"
UNICO COSMECEUTICAL INDUSTRIES SDN BHD,Johor,81750,073863882,25 JALAN PERMAS 9/12
COSMEPRO INDUSTRIES SDN BHD,Johor,81750,07-3864308,"5, JALAN SRI PLENTONG 3, TAMAN PERINDUSTRIAN SRI PLENTONG,"
FULIJAYA MANUFACTURING SDN. BHD.,Kedah,09000,04-4843024,"Plot 7110, No.H.S.(M) 745, Off BKE Highway,"
WIPRO MANUFACTURING SERVICES SDN. BHD.,Selangor,43000,0356315588,"LOT 5755-1 KAMPUNG BUKIT ANGKAT, SUNGAI CHUA,"
MILIYASUTRA INDUSTRIES SDN BHD,Selangor,48100,0322890718,"NO. 10, JALAN PJU 3/43, SUNWAY DAMANSARA TECHNOLOGY PARK, KOTA DAMANSARA,"
SKCC LABORATORIES SDN BHD,Selangor,47000,03-7783 6308,"NO.17, JALAN PJS 5/26, TAMAN DESARIA, BANDAR PETALING JAYA,"
APEX COSMECEUTICAL TECHNOLOGY SDN. BHD.,Johor,81000,07-6636351,"3326, JALAN TANJUNG, BANDAR INDAHPURA"
Amlion Personal Care Mfg Sdn Bhd,Selangor,42000,0123073729,"LOT 14, PT1660, JALAN SULTAN HISHAMUDDIN 1, SELAT KLANG UTARA"
SENWILL COSMETIC MANUFACTURING SDN BHD,Pulau Pinang,11960,6046119977,"NO.17, LINTANG BERINGIN 8, DIAMOND VALLEY INDUSTRIAL PARK, JALAN PERMATANG DAMAR LAUT,"
INNOSCIENCE MANUFACTURING SDN BHD,Selangor,43650,,"29, JALAN P/21, SEK.10, SELAMAN LIGHT IND. PARK,FASA 1"
GREEN CARE MANUFACTURE,Selangor,43500,0391322905,"NO.22,JALAN PERSIARAN MEGA 1/A, TAMAN INDUSTRI MEGA"
Origin Herbal Hair Treatment Sdn Bhd,Selangor,47810,0123850065,"12A-B, Jalan Teknologi 3/5 Sunsuria Technology Centre Kota Damansara"
BEAUTY CAPITAL TECHNOLOGY SDN BHD,Johor,81100,0172269898,"NO.24, JALAN SRI PURNAMA 2/2 KAWASAN PERINDUSTRIAN SRI PURNAMA"
TOP STYLE BEAUTY TRADING,Pulau Pinang,14000,04-5022833,"NO. 846, JALAN PERSEKUTUAN, PUSAT PERNIAGAAN JURUJAYA, BUKIT MINYAK"
Zelcos Laboratory Sdn Bhd,Pulau Pinang,13600,04-3989013,"NO 1, LORONG NAGASARI 11 TAMAN NAGASARI"
Secretleaf International Sdn Bhd,Kedah,08000,0361895373,"NO A117 JALAN 2A-1, KAWASAN PERUSAHAAN MIEL SUNGAI LALANG,"
KEN PRIMA COSMECEUTICALS SDN. BHD.,Pulau Pinang,13600,,"PLOT 22, LORONG PERUSAHAAN MAJU 2, PRAI INDUSTRIAL ESTATE PHASE 4,"
AUDRA HERBALS (M) SDN BHD,W.P. Kuala Lumpur,58200,,NO 24 JALAN 4/152 TAMAN PERINDUSTRIAN OUG
NUTRISKIN MARKETING SDN. BHD.,Selangor,43300,0389610773,"NO.20 & 22, JALAN TAMING 7, TAMING JAYA INDUSTRIAL PARK,"
TRUMER COSMESCIENCE SDN. BHD.,Selangor,40460,03-51317738,"LOT 11, JALAN ANGGERIK MOKARA 31/60, SEKSYEN 31, KOTA KEMUNING,"
Lofi Enterprise,Kedah,05150,04-7302229,"B-06,KOMPLEKS IKS MARA LORONG PERAK 8 KAWASAN PERINDUSTRIAN MERGONG"
Kinder Soaps Sdn. Bhd.,Selangor,47400,0122137898,"11A-B, JALAN SS22/23, DAMANSARA JAYA,"
SERI WV SDN. BHD.,Kelantan,16100,+6 09 7717 610 / 7717 611,"BT 8, FASA 2, HALAL PARK, KAWASAN INDUSTRI MARA(KIM)"
ZY PHYTO COSMETIC SCIENCE,Selangor,42300,03 60388898,NO 65 JALAN TIAJ 2/10 TAMAN INDUSTRI ALAM JAYA BANDAR PUNCAK ALAM
SOUTHERN EDIBLE OIL INDUSTRIES (M) SDN. BHD.,Selangor,42200,03-32508331,"GOLCONDO ESTATE, 10TH MILE, JALAN TAP OFF JALAN KAPAR"
WIRAKATA GLOBAL SDN. BHD.,Perak,31300,+605 354 2282,"PLOT 2655, JALAN GOPENG TUNGZEN INDUSTRIAL PARK, MUKIM SUNGAI RAYA"
MIYABI AROMATICS SDN BHD,Selangor,42100,0332905998,"NO.2 JALAN SUNGAI BATU 8/KU6, KAWASAN PERINDUSTRIAN KLANG UTAMA,"
Eveleen Care (M) Sdn Bhd,Selangor,42920,0331013082,"A53-A54, JALAN FZ2-P3 PORT KLANG FREE ZONE KS12, PULAU INDAH"
Ecolex Sdn Bhd,Selangor,42920,03-3258 3174,"LOT 11, SECTION 5, FASA 2B, PULAU INDAH INDUSTRIAL PARK, JALAN SUNGAI PINANG 4/2, PULAU INDAH,"
SWISS LAB BIOTECH SDN. BHD.,Kedah,05150,+0194188889,"NO 396 & 397, JALAN PERUSAHAAN 5, TAMAN BANDAR BARU MERGONG LEBUHRAYA SULTANAH BAHIYAH"
Sirius Excel Sdn Bhd,Negeri Sembilan,70300,"06-6017810,06-6017811","No 75 Jalan S2 C2, Green Technology Park, Seremban 2,"
CHT Manufacturing Sdn. Bhd.,Pulau Pinang,14000,045072616,"35, JALAN BUKIT MINYAK 3, TAMAN BUKIT MINYAK"
SHVETA LABS (M) SDN. BHD.,W.P. Kuala Lumpur,56000,+60129007789,"10, JALAN DAMAI PUSPA 2, ALAM DAMAI,"
BIO CHEMPRO INDUSTRY,W.P. Kuala Lumpur,52200,0361782799,"115 Jalan KIP, Taman Perindustrian KIP"
MUSLIMAH MANUFACTURING SDN. BHD.,Kedah,08000,+6 04 442 8515/8,"B1-2 & B1-3, KEDAH HALAL PARK, LOT 5, KAWASAN PERINDUSTRIAN SUNGAI PETANI"
KEN-RICH CHEMICAL PRODUCTION SDN. BHD.,Selangor,40200,0378456112,"LOT 3, JALAN HALBA 16/16, SEKSYEN 16,"
ZINSHENG TRADING,Pulau Pinang,14300,05-7162337 / 019-4750332,"NO.12, TINGKAT MERPATI 3, TAMAN SEMPADAN,"
NIBONG TEBAL PERSONAL CARE SDN. BHD.,Perak,34200,057163788,"LOT 139, JALAN PERUSAHAAN 1, KAWASAN PERINDUSTRIAN PARIT BUNTAR,"
UMZ BIOLINE INDUSTRY,Johor,81800,,"NO. 17, JALAN TIRAM 9 TAMAN PERINDUSTRIAN TIRAM"
YAKIN INVEST CORPORATION SDN. BHD.,Selangor,43300,03-89645311,"NO.1, JALAN P8, PERDANA 8, KAWASAN PERINDUSTRIAN KAMPUNG BARU BALAKONG,"
BIO LAB COSMETICS SDN BHD,Selangor,43300,0192785600,"NO.64, JALAN TAMING 6, TAMAN TAMING JAYA,"
VEE-MAN BEAUTY SDN. BHD.,Selangor,40460,+603-56129999,"NO. 30 & 32, JALAN SUNGAI JELUH 32/192, KAWASAN PERINDUSTRIAN KEMUNING, SEKSYEN 32,"
Terra Ayu Sdn Bhd,Johor,81200,016-6632813,"NO. 27, JALAN MEWAH RIA 1/3 TAMAN BUKIT MEWAH"
VISTA LAB SDN. BHD.,Selangor,47100,03-80618181,"32, JALAN MERANTI JAYA 11, MERANTI INDUSTRIAL PARK,"
INTRAMILES SDN. BHD.,Selangor,52100,03-62701988,"LOT 1, JALAN USAHA EHSAN E1/1, TAMAN PERINDUSTRIAN EHSAN,"
BSX3 MANUFACTURING SDN BHD,Selangor,42100,,"NO.3 LORONG SUNGAI PULOH 1A/KU6, TAMAN TEKNOLOGI GEMILANG, KAWASAN PERINDUSTRIAN SUNGAI PULOH 42100"
DTS SKINCARE  INDUSTRIES  SDN.BHD,Selangor,47830,,"29, 31 & 35, JALAN PJU 10/10C, SHOPPE SAUJANA DAMANSARA,  DAMANSARA DAMAI,"
