reg_no,ref_no,product,status,description,holder,holder_osa,manufacturer,manufacturer_osa,importer,importer_osa,date_reg,date_end,active_ingredient,mdc_code,generic_name
MAL06061584TC,2006022007027,San Qi Jie Xu Capsule,PRODUCT APPROVED,NATURAL PRODUCT,JINHAI BORUI INTERNATIONAL RESOURCES SDN BHD,937531,QIS RESEARCH LABORATORY SDN. BHD.,1105865,,,2021-07-01,2026-07-01,"Rhizoma Zingiber officinale.[40;mg;400;mg],Radix Pseudostellariae Heterophyllae[60;mg;400;mg],Radix Panax Quinquefolium[20;mg;400;mg],Radix Glycyrrhiza Uralensis.[40;mg;400;mg],PORIA COCOS WOLF[60;mg;400;mg],Herba Elsholtzia splendens[60;mg;400;mg],Fructus Gardenia jasminoides[40;mg;400;mg],Rhizoma atractylodes macrocephala[60;mg;400;mg],Fructus amomum villosum lour[20;mg;400;mg]",,
MAL06061582TC,2006022007009,San Qi Zhuang Yuan Capsule,PRODUCT APPROVED,NATURAL PRODUCT,JINHAI BORUI INTERNATIONAL RESOURCES SDN BHD,937531,QIS RESEARCH LABORATORY SDN. BHD.,1105865,,,2021-07-01,2026-07-01,"Rhizoma Dioscorea Opposita Thunb[126;mg;420;mg],Radix Panax notoginseng.[21;mg;420;mg],Radix Glycyrrhiza Uralensis.[21;mg;420;mg],radix astragalus membranaceus[63;mg;420;mg],PORIA COCOS WOLF[63;mg;420;mg],FRUCTUS SCHISANDRA CHINENSE[21;mg;420;mg],radix panax ginsen[42;mg;420;mg],Rhizoma Atractylodes Macrocephala[63;mg;420;mg]",,
MAL06061580TC,2006022006919,San Qi Tong Mai Capsule,PRODUCT APPROVED,NATURAL PRODUCT,JINHAI BORUI INTERNATIONAL RESOURCES SDN BHD,937531,QIS RESEARCH LABORATORY SDN. BHD.,1105865,,,2021-07-01,2026-07-01,"Radix Panax notoginseng.[42;mg;420;mg],HIRUDO WHITMANIA PIRGA[42;mg;420;mg],Herba Gynostemma pentaphyllum[84;mg;420;mg],Folium Ginkgo Biloba[42;mg;420;mg],ENDOTHELIUM CORNEUM GIGERIAE GALI[33.6;mg;420;mg],Caulis Spatholobus suberectus[84;mg;420;mg],RADIX PUERARIA LOBATA[42;mg;420;mg],Radix Astragalus Membaranaceus[50.4;mg;420;mg]",,
MAL21076035HX,202007304046HX,Dentisept 2 mg/g Adhesive Dental Paste,PRODUCT APPROVED,VETERINARY,My Vet Care Sdn Bhd,1101233,DR. E.GRAEUB AG,1152433,My Vet Care Sdn Bhd,1109596.0,2021-07-01,2026-07-01,"CHLORHEXIDINE[2 mg,1 gm]",,
MAL06061500TC,2006010400312,San Qi Wei Ling Capsule,PRODUCT APPROVED,NATURAL PRODUCT,JINHAI BORUI INTERNATIONAL RESOURCES SDN BHD,937531,QIS RESEARCH LABORATORY SDN. BHD.,1105865,,,2021-07-01,2026-07-01,"CYPERUS ROTUNDUS[63;mg;420;mg],RHIZOMA ATRACTYLODES LANCEA[42;mg;420;mg],Radix Glycyrrhizae Uralensis.[42;mg;420;mg],RADIX AUCKLANDIAE LAPPA[42;mg;420;mg],radix astragalus membranaceus[63;mg;420;mg],Poria Cocos (Schw) Wolf[63;mg;420;mg],ENDOTHELIUM CORNEUM GIGERIAE GALI[42;mg;420;mg],Rhizoma atractylodes macrocephala[63;mg;420;mg]",,
MAL21076031HXC,202007063928HX,"PRAZIVET PLUS (PRAZIQUANTEL, PYRANTEL PAMOATE & FEBANTEL TABLETS)",PRODUCT APPROVED,VETERINARY,KM Vet Pharm Sdn. Bhd.,51344,M/s. Smith & Kenner Pharmaceuticals Pvt. Ltd,1178796,KM Vet Pharm Sdn. Bhd.,1118500.0,2021-07-01,2026-07-01,"PRAZIQUANTEL[50.0 mg],PYRANTEL PAMOATE[144.0 mg],FEBANTEL[150.0 mg]",,
MAL21076016AZ,202006293910A,RAMIPEX 0.25mg Tablet,PRODUCT APPROVED,PRESCRIPTION,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,931800,Torrent Pharmaceuticals Ltd. - Indrad Plant,1182047,DKSH MALAYSIA SDN. BHD.,75.0,2021-07-01,2026-07-01,PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE[0.25 mg],N04BC05-110-T34-02-002,
MAL21076015AZ,202006293909A,RAMIPEX 0.125mg Tablet,PRODUCT APPROVED,PRESCRIPTION,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,931800,Torrent Pharmaceuticals Ltd. - Indrad Plant,1182047,DKSH MALAYSIA SDN. BHD.,75.0,2021-07-01,2026-07-01,PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE[0.125 mg],N04BC05-110-T34-01-002,
MAL06051486T,2005121379577,"Ma""ajun Ubijaga Tongkat Ali Plus 5g",PRODUCT APPROVED,NATURAL PRODUCT,SYARIKAT ZULKIFLI BAMADHAJ,2160,SYARIKAT ZULKIFLI BAMADHAJ,1144472,,,2021-07-01,2026-07-01,"Acorus calamus[0.15;g;5;g],Coriandrum sativum[0.15;g;5;g],Eurycoma longifolia[0.3;g;5;g],Leptospermum flavescens[0.1;g;5;g],Piper longum[0.1;g;5;g],Trachyspermum ammi[0.1;g;5;g],ZINGIBER MINUS RHIZOM[0.15;g;5;g],Trigonella Foenum Graecum[0.15;g;5;g],Smilax myosotiflora/ubi jaga[0.4;g;5;g],Nigella Sativa.[0.2;g;5;g],Allomorphia malacensis[0.2;g;5;g]",,
MAL06061459T,2005121279463,Bio Mangosteen Plus,PRODUCT APPROVED,NATURAL PRODUCT,QD HERBS SDN. BHD.,3146,QD HERBS SDN. BHD.,75242,,,2021-07-01,2026-07-01,"Garcinia Mangostana Peel Extract[380;mg;450;mg],Camellia Sinensis (Green Tea) Leaf Extract[30;mg;450;mg],Grape seed (Vitis vinifera) extract[40;mg;450;mg]",,
MAL11030145T,2010060286573,Song Shan Maratonic,PRODUCT APPROVED,NATURAL PRODUCT,HUAMAO AGENCIES SDN. BHD.,1807,"ANHUI FUKANG PHARMACEUTICAL CO., LTD.",1023828,HUAMAO AGENCIES SDN. BHD.,55879.0,2021-07-01,2026-07-01,"RHIZOMA ATRACTYLODIS MACROCEPHALAE[2.4;g;10;ml],RADIX REHMANNIAE PREPARATA[1.2;g;10;ml],Radix Codonopsis Pilosulae[2.4;g;10;ml],Poria Cocos.[2.4;g;10;ml],Herba Epimedii Sagittatum[3.6;g;10;ml],GECKO LINNAEUS GAKKONIDAE[0.06;g;10;ml],Radix Glycyrrhiza Uralensis[0.4;g;10;ml]",,
MAL06061572TC,2006021706665,San Qi Ningshen Bunao Capsule,PRODUCT APPROVED,NATURAL PRODUCT,JINHAI BORUI INTERNATIONAL RESOURCES SDN BHD,937531,QIS RESEARCH LABORATORY SDN. BHD.,1105865,,,2021-07-01,2026-07-01,"Nelumbo nucifera[10.08;mg;420;mg],Semen Ziziphus spinosa[193.2;mg;420;mg],Radix Polygala Tenuifolia[57.12;mg;420;mg],Flos Albizzia julibrissim[84;mg;420;mg],CONCHA MARGARITIFERA USTA[42;mg;420;mg],Rhizoma Gastrodia elate[33.6;mg;420;mg]",,
MAL06051520TC,2005061638761,ANSON PAI DU TONG JIN JU NING DAN,PRODUCT APPROVED,NATURAL PRODUCT,SIHAT MESRA SDN. BHD.,3205,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"RHIZOMA LIGUSTICUM CHUANXIONG[65;mg;460;mg],RAMULUS MORI ALBA[100;mg;460;mg],RADIX GINSENG[5;mg;460;mg],Herba Taxillus chinensis[50;mg;460;mg],CORTEX CINNAMOMUM CASSIA[40;mg;460;mg],Cortex Eucommiae Ulmoides[150;mg;460;mg],Cortex Acanthopanax Gracilistylus[50;mg;460;mg]",,
MAL06061352X,2005061739009,GNC  Prima-C 1000 Timed Release,PRODUCT APPROVED,HEALTH SUPPLEMENT,GNC LIVEWELL MALAYSIA SDN. BHD.,1273863,NUTRA MANUFACTURING INC,7673,ONI Global (Malaysia) Sdn Bhd,934710.0,2021-07-01,2026-07-01,"Ascorbyl Palmitate[48.459;mg;;0],ASCORBIC ACID[909.468;mg;;0],Calcium Ascorbate[62.683;mg;;0],Sodium ascorbate[118.391;mg;;0],Citrus bioflavonoid complex[50.000;mg;;0]",,
MAL06051516TC,2005060734099,ANSON YI HOU LING CAPSULE,PRODUCT APPROVED,NATURAL PRODUCT,SIHAT MESRA SDN. BHD.,3205,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"Radix Scutellaria Baicalensis[150;mg;450;mg],Fructus Forsythia Suspensa[150;mg;450;mg],FLOS LONICERA JAPONICA[150;mg;450;mg]",,
MAL06061476TC,2005070544902,Razak Meladapahit 250mg Plus Capsule,PRODUCT APPROVED,NATURAL PRODUCT,RAZAK MELADAPAHIT,3412,SARI TANI DESA SDN. BHD.,1109827,,,2021-07-01,2026-07-01,"Nigella Sativa Seed[25.00;mg;250.00;mg],Brucea amarissima powder[225.00;mg;250.00;mg]",,
MAL06051444TC,2005013006872,"WELLRIX""S PAO SHEN CHONG CAO KAI WEI ZHI",PRODUCT APPROVED,NATURAL PRODUCT,SIHAT MESRA SDN. BHD.,3205,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"ROYAL JELLY[6;mg;5;ml],RHIZOMA ATRACTYLODES LANCEA[28;mg;5;ml],Radix Polygala Tenuifolia[30;mg;5;ml],RADIX OPHIOPOGON JAPONICUS[28;mg;5;ml],Poria Cocos (Schw) Wolf[28;mg;5;ml],Pericarpium Citrus retigulata[45;mg;5;ml],Fructus Crataegus pinnatifida[45;mg;5;ml],Rhizoma Acorus Gramineus[30;mg;5;ml]",,
MAL06051503TC,2005013006871,"WELLRIX""S CHONG CAO YAN WO LUO HAN MI",PRODUCT APPROVED,NATURAL PRODUCT,SIHAT MESRA SDN. BHD.,3205,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"Semen Trichosanthes Kirilowii[50;mg;5;ml],Radix Polygala Tenuifolia[25;mg;5;ml],Radix Platycodon gradiflorum[75;mg;5;ml],FRUCTUS MOMORDICA GROSVENORI[25;mg;5;ml],Folium Eriobotrya japonica.[150;mg;5;ml],Bird Nest[2;mg;5;ml],Radix Stemona Sessilifolia[45;mg;5;ml],Bulbus Fritillaria cirrhosa[45;mg;5;ml],Cordyceps Sinensis[8;mg;5;ml]",,
MAL06051502TC,2005012906869,"WELLRIX""S SIRAP HERBA UNTUK KANAK-KANAK",PRODUCT APPROVED,NATURAL PRODUCT,SIHAT MESRA SDN. BHD.,3205,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"Radix Platycodon gradiflorum[35;mg;5;ml],Fructus Perilla Frutescens[35;mg;5;ml],Folium Eriobotrya japonica.[40;mg;5;ml],Bird Nest[5;mg;5;ml],Radix Glycyrrhiza Uralensis[25;mg;5;ml],Radix Stemona Sessilifolia[15;mg;5;ml],Bulbus Fritillaria cirrhosa[35;mg;5;ml],HERBA MENTHA HAPLOCALYX[25;mg;5;ml],SEMEN PRUNUS ARMENIACA[35;mg;5;ml],Honey[1500;mg;5;ml]",,
MAL06051501TC,2005012505987,TAI FONG CHUN SE CHUANG GAO,PRODUCT APPROVED,NATURAL PRODUCT,SMART WELLMIN SDN BHD,1039392,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"Acacia catechu[40;mg;1;g],Calcitum[110;mg;1;g],RHIZOMA BLETILLA STRIATA[110;mg;1;g],Radix Glycyrrhiza Uralensis[90;mg;1;g]",,
MAL06051500TC,2005012505769,"WELLRIX""S SHUANG LIAO SERBUK HERBANIKA CHONG CAO PLUS",PRODUCT APPROVED,NATURAL PRODUCT,SIHAT MESRA SDN. BHD.,3205,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"Cordyceps sinensis[20;mg;1;g],Rhizoma Pinellia Ternata Thunb.[100;mg;1;g],RHIZOMA LIGUSTICUM CHUANXIONG[50;mg;1;g],CYPERUS ROTUNDUS[50;mg;1;g],RHIZOMA ATRACTYLODES LANCEA[50;mg;1;g],Poria Cocos (Schw) Wolf[150;mg;1;g],Pericarpium Citrus reticulatae[180;mg;1;g],Radix Glycyrrhiza Uralensis[150;mg;1;g],Fructus Gardenia jasminoides[50;mg;1;g],Bulbus Fritillaria cirrhosa[200;mg;1;g]",,
MAL06051442TC,2005012105299,TAI FONG ZHEN ZHU AN CHUANG MEI RONG CREAM,PRODUCT APPROVED,NATURAL PRODUCT,SMART WELLMIN SDN BHD,1039392,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"Alumen[65;mg;1;g],SANGUIS DAEMONOROPS DRACO[65;mg;1;g],RADIX RHEUM PALMATUM[90;mg;1;g],MARGARITA PTERIA MARTENSII (DRUNKER)[18;mg;1;g],CORTEX DICTAMNUS DASYCARPUS[112;mg;1;g]",,
MAL06051499TC,2005012105286,TAIFONG JING DAN,PRODUCT APPROVED,NATURAL PRODUCT,SMART WELLMIN SDN BHD,1039392,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"Semen Ginkgo biloba[160;mg;480;mg],Radix Adenophora Stricta[160;mg;480;mg],Cordyceps Sinensis[160;mg;480;mg]",,
MAL06051524TC,2005070946308,Anson Sirap Ubat Batuk Yan Wo Chong Cao Po He Mi,PRODUCT APPROVED,NATURAL PRODUCT,SIHAT MESRA SDN. BHD.,3205,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"Semen Trichosanthes Kirilowii[50;mg;5;ml],Radix Polygala Tenuifolia[25;mg;5;ml],Fructus Momordica Grasvenori[25;mg;5;ml],Folium Eriobotrya japonica.[150;mg;5;ml],Bird""s Nest[2;mg;5;ml],Radix Stemona Sessilifolia[45;mg;5;ml],Radix platycodon grandiflorum[75;mg;5;ml],Bulbus Fritillaria cirrhosa[45;mg;5;ml],Cordyceps Sinensis[8;mg;5;ml]",,
MAL06051498TC,2005011002360,TAI FONG PAI DU MEI RONG BAO CAPSULE ,PRODUCT APPROVED,NATURAL PRODUCT,SMART WELLMIN SDN BHD,1039392,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"Acacia catechu[110;mg;470;mg],Aloe barbadensis[43;mg;470;mg],RADIX RHEUM PALMATUM[33;mg;470;mg],Herba Taraxacum Mongolicum.[62;mg;470;mg],RADIX ANGELICA SINENSIS[104;mg;470;mg],RADIX SOPHORA FLAVESCENS[118;mg;470;mg]",,
MAL06061614T,2004122523513,YesHealth Yes Debtin 6 Complex with Bitter Melon,PRODUCT APPROVED,NATURAL PRODUCT,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),216,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),214,,,2021-07-01,2026-07-01,"Olive Leaf Extract[65;mg;400;mg],GYMNEMA SYLVESTRE EXTRACT[65;mg;400;mg],Fenugreek (Trigonella Foenum-Graecum) Extract[40;mg;400;mg],Bitter Melon Extract (Momordica Charantia)[65;mg;420;mg],Mistletoe (Viscum album) Extract.[65;mg;400;mg],Saccharomyces Cerevisiae (Yeast) Extract[25;mg;400;mg]",,
MAL06051495TC,2004121419176,"WELLRIX""S FU FANG HONG HUA JING KE TONG, CAPSULE & 470MG",PRODUCT APPROVED,NATURAL PRODUCT,SIHAT MESRA SDN. BHD.,3205,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,9933,,,2021-07-01,2026-07-01,"RHIZOMA LIGUSTICUM CHUANXIONG[47;mg;470;mg],radix paeonia lactiflora[47;mg;470;mg],Poria Cocos (Schw) Wolf[47;mg;470;mg],Herba Lycopus Lucidus[94;mg;470;mg],Flos Carthamus Tinctorius[94;mg;470;mg],RADIX ANGELICA SINENSIS[47;mg;470;mg],SEMEN PRUNUS PERSICA[47;mg;470;mg],Rhizoma sparganium stoloniferum[47;mg;470;mg]",,
MAL06061524XC,2005091664040,GESB Liniment Oil,PRODUCT APPROVED,NON PRESCRIPTION,GAMAT EMAS SDN BHD,2345,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),214,,,2021-07-01,2026-07-01,"Methyl salicylate[35;%(w/w);;],Menthol[10;%(w/w);;],Camphor[5;%(w/w);;],EUCALYPTUS OIL[15;%(w/w);;]",,
MAL06061454T,2005092064632,Bio Nutri Fiber Plex,PRODUCT APPROVED,NATURAL PRODUCT,QD HERBS SDN. BHD.,3146,QD HERBS SDN. BHD.,75242,,,2021-07-01,2026-07-01,"Oryza sativa[1;g;15;g],SPIRULINA PACIFICA[200;mg;15;g],Spinach (Spinacea oleracea) Powder[300;mg;15;g],Psyllium Husk (Plantago Ovata) powder[2.5;g;15;g],Panicum milliaceum (Millet)[3;g;15;g],Milk Thistle (Silybum Marianum) Extract[140;mg;15;g],Guarana Extract (Paullinia Cupana)[200;mg;15;g],Flaxseeds (Semen Linum Usitatissimum)[200;mg;15;g],EXTRACT TRIBULUS TERRESTRIS[100;mg;15;g],Cucurbita Pepo (Pumpkin)[150;mg;15;g],CARROT POWDER/DAUCUS CAROTA POWDER[200;mg;15;g],Camellia Sinensis  (Green Tea Leaf Extract)[100;mg;15;g],Bitter orange (Citrus aurantium)[110;mg;15;g],Bitter Melon Extract (Momordica Charantia)[100;mg;15;g],Barley juice powder (Hordeum vulgare)[100;mg;15;g],Avena sativa (Oat)[6.5;g;15;g],Asparagus officinalis (Asparagus)[100;mg;15;g]",,
MAL11010020AZ,2009091784364,Ecox Tablet 400mg,PRODUCT APPROVED,PRESCRIPTION,ZULAT PHARMACY SDN. BHD.,238,Macleods Pharmaceuticals Ltd.,1023798,ZULAT PHARMACY SDN. BHD.,1033388.0,2021-07-01,2026-07-01,ETHAMBUTOL HYDROCHLORIDE[400.00;mg;;0],J04AK02-110-T10-02-006,Ethambutol HCl 400 mg Tablet
MAL06061458T,2005100467496,Fiber Ace,PRODUCT APPROVED,NATURAL PRODUCT,QD HERBS SDN. BHD.,3146,QD HERBS SDN. BHD.,75242,,,2021-07-01,2026-07-01,"Daucus carota[200;mg;15;g],Malus domestica[200;mg;15;g],Pfaffia paniculata[200;mg;15;g],Ulmus rubra[300;mg;15;mg],CHLOROPHYLL[200;mg;15;mg],SPIRULINA PACIFICA[400;mg;15;mg],Psyllium Husk (Plantago Ovata) powder[3.0;g;15;g],Pisum sativum (Green pea)[200;mg;15;g],Mentha Piperita (Peppermint) Leaf[400;mg;15;g],Licorice root (Glycyrrhiza glabra) powder[400;mg;15;g],Lentinus edodes (Shiitake mushroom)[200;mg;15;g],Ginger (Zingiber Officinale)[300;mg;15;g],GARCINIA CAMBOGIA (FRUIT)[400;mg;15;g],Capsicum Annuum Fruit Powder[400;mg;15;g],Brassica oleracea italica (Broccoli)[300;mg;15;g],Bitter orange (Citrus aurantium)[400;mg;15;g],Barley grass (Hordeum Vulgare) powder[300;mg;15;g],Avena sativa (Oat)[6.8;g;15;g],Chlorella algae (Chlorella powder)[400;mg;15;g]",,
